10000 4 0
1        772 	1993	661	2355
2        2500	1790	1068	1691
3        1049	1048	2082	1050
4        2435	545	544	2638
5        1065	466	419	2447
6        1214	1116	1213	2373
7        1943	650	2108	2230
8        1636	1343	2238	367
9        916		696	940	2680
10       2470	1272	1625	1820
11       2490	2568	2070	2288
12       1915	568	1724	1327
13       2336	482	907	2337
14       631	168	134	2059
15       39		2398	2399	2531
16       2206	2435	850	2046
17       870	1405	524	1457
18       1685	1624	730	2193
19       1125	1463	1123	24
20       2189	2160	2198	2367
21       2069	2430	2329	2429
22       1555	107	2162	1590
23       2440	2073	2451	2407
24       2473	790	1096	1797
25       1875	2547	2182	2235
26       1714	1474	1420	2506
27       2203	2204	2205	2206
28       2505	250	1987	1824
29       2004	670	2044	730
30       1266	494	495	1025
31       2542	2507	1755	2342
32       2276	962	2161	2162
33       1213	440	2373	304
34       317	2550	2154	1848
35       1842	1453	1470	2114
36       1354	2363	2716	2039
37       2143	2528	2142	1993
38       2560	181	2610	2631
39       1736	1806	2186	2168
40       1971	1637	2171	2388
41       1738	167	166	2616
42       154	1266	1025	494
43       1705	604	1484	2148
44       2538	2091	2539	1
45       75		326	1067	324
46       676	675	1423	2271
47       741	1564	1597	2676
48       957	1413	163	1180
49       92		93	2391	2390
50       443	1646	463	2364
51       1958	508	206	1959
52       2684	1598	167	1241
53       2342	919	664	2542
54       1598	1600	2333	2412
55       164	1182	1903	1525
56       2023	2379	2189	2263
57       450	914	1968	881
58       90		303	1913	302
59       2658	2312	2091	2238
60       2069	2354	2405	153
61       2409	2715	2210	2446
62       2490	2568	2309	2070
63       225	224	1640	1302
64       1267	2396	2585	1268
65       2000	2001	2002	2003
66       1368	1673	2508	1692
67       2436	1061	1684	1060
68       311	1210	2285	442
69       2522	2087	2279	2404
70       1546	2125	2531	1449
71       1676	2598	1878	2676
72       2225	2461	1179	2460
73       238	239	2228	177
74       1019	637	315	2410
75       2181	834	313	865
76       969	1643	810	2732
77       2724	258	2436	1625
78       2293	707	2164	705
79       435	434	1657	2104
80       1148	2138	889	401
81       2479	2094	2184	2408
82       2328	2230	2614	2211
83       2276	639	640	1202
84       2587	1351	665	1383
85       2170	2310	1232	2090
86       449	1421	327	298
87       1075	2404	1284	2119
88       771	1908	554	1918
89       229	655	2139	1863
90       680	2213	713	1999
91       1201	283	653	2432
92       733	328	808	2549
93       2026	2033	2034	2027
94       2720	2088	1497	2370
95       1339	2422	2730	59
96       682	104	749	105
97       2605	2606	2562	1111
98       2722	92	94	2391
99       938	2139	329	350
100      2029	2030	2369	2031
101      425	2426	2680	974
102      426	2384	1149	2463
103      2170	2310	2090	2172
